Location	Bait	Start	End	Transition	Weather	Predator, Amount	Tug	Hookset	Gathering	Snagging?	Fish Eyes?	ID	Note
Syldra	Spoon Worm				Rain		Heavy	Precision				233	
Oschon's Torch												10405	
Sea Cucumber	Rat Tail						Light	Precision				14	
Vongola Clam	Goby Ball						Light	Precision				18	
Moraby Flounder	Yumizuno						Medium	Powerful				22	
Pebble Crab	Yumizuno						Light	Precision				26	
Tiger Cod	Rat Tail						Medium	Powerful				30	
Rothlyt Oyster	Rat Tail						Light	Precision				35	
Mahi-mahi	Yumizuno	10	18				Heavy	Powerful				159	
Silver Sovereign	Yumizuno						Heavy	Powerful				213	
Candlekeep Quay												10407	
Lominsan Anchovy	Lugworm						Light	Precision				5	
Vongola Clam	Goby Ball						Light	Precision				18	
Moraby Flounder	Yumizuno						Medium	Powerful				22	
Pebble Crab	Yumizuno						Light	Precision				26	
Tiger Cod	Rat Tail						Medium	Powerful				30	
Rothlyt Oyster	Rat Tail						Light	Precision				35	
Shall Shell	Northern Krill						Medium	Powerful				156	
Sabertooth Cod	Goby Ball	16	22				Heavy	Powerful				214	
Moraby Drydocks												10404	
Merlthor Goby	Lugworm						Light	Precision				4	
Ocean Cloud	Pill Bug						Light	Precision				12	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Moraby Flounder	Yumizuno						Medium	Powerful				22	
Pebble Crab	Yumizuno						Light	Precision				26	
Tiger Cod	Rat Tail						Medium	Powerful				30	
Rothlyt Oyster	Rat Tail						Light	Precision				35	
Navigator's Dagger	Yumizuno						Medium	Powerful				38	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Jacques the Snipper	Goby Ball	21	3				Heavy	Precision				235	
Empty Heart												10408	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Crimson Crayfish	Crayfish Ball						Light	Precision				17	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Acorn Snail	Midge Basket						Light	Precision				34	
Moat Carp	Crow Fly						Light	Precision				39	
Copperfish	Butterworm						Light	Precision				41	
Eunuch Crayfish	Copperfish						Light	Precision				47	
Grip Killifish	Chocobo Fly						Light	Precision				78	
Faerie Queen	Spinnerbait				Clouds, Fog, Wind		Heavy	Powerful				220	
The Salt Strand												10406	
Sea Cucumber	Rat Tail						Light	Precision				14	
Pebble Crab	Yumizuno						Light	Precision				26	
Helmet Crab	Rat Tail						Light	Precision				32	
Razor Clam	Rat Tail						Light	Precision				43	
Blowfish	Northern Krill						Medium	Powerful				49	
Sea Bo	Shrimp Cage Feeder						Light	Precision				62	
Black Sole	Herring Ball						Medium	Powerful				67	
Tiny Tortoise	Yumizuno						Heavy	Powerful				185	
Meteor Survivor	Rat Tail	3	5		Clouds, Fog, Wind		Heavy	Powerful				239	
Blind Iron Mines												10409	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Acorn Snail	Midge Basket						Light	Precision				34	
Blindfish	Syrphid Basket						Light	Precision				25	
Lamp Marimo	Chocobo Fly						Light	Precision				74	
Cupfish	Syrphid Basket	17	19				Heavy	Precision				238	
South Bloodshore												10501	
Merlthor Goby	Lugworm						Light	Precision				4	
Coral Butterfly	Pill Bug						Medium	Powerful				20	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Blue Coral	Shrimp Cage Feeder						Light	Precision				57	
Sea Bo	Shrimp Cage Feeder						Light	Precision				62	
Bianaq Bream	Heavy Steel Jig						Medium	Powerful				65	
Fullmoon Sardine	Spoon Worm	18	6				Light	Precision				83	
Silver Shark	Merlthor Goby						Medium	Powerful				111	
Gigant Clam	Heavy Steel Jig	23	2				Heavy	Powerful				313	
The Greatest Bream in the World	Shrimp Cage Feeder	20	23				Heavy	Powerful				245	
Costa del Sol												10502	
Merlthor Goby	Lugworm						Light	Precision				4	
Angelfish	Rat Tail						Medium	Powerful				40	
Blowfish	Northern Krill						Medium	Powerful				49	
Bianaq Bream	Heavy Steel Jig						Medium	Powerful				65	
Indigo Herring	Spoon Worm						Medium	Powerful				75	
Ash Tuna	Spoon Worm						Medium	Powerful				77	
Fullmoon Sardine	Spoon Worm	18	6				Light	Precision				83	
Lavender Remora	Heavy Steel Jig						Medium	Powerful				93	
Silver Shark	Merlthor Goby						Medium	Powerful				111	
Little Thalaos	Northern Krill				Rain, Showers		Medium	Powerful				155	
Shark Tuna	Fullmoon Sardine	19	21		Clear Skies, Fair Skies		Heavy	Powerful				251	
North Bloodshore												10503	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Ogre Barracuda	Harbor Herring						Medium	Powerful				58	
Black Sole	Herring Ball						Medium	Powerful				67	
Sea Pickle	Herring Ball						Light	Precision				72	
Ash Tuna	Spoon Worm						Medium	Powerful				77	
Whitelip Oyster	Herring Ball						Light	Precision				88	
Balloonfish	Heavy Steel Jig						Medium	Powerful				97	
Red Coral	Herring Ball						Light	Precision				107	
Mazlaya Marlin	Ogre Barracuda						Heavy	Powerful				165	
Bombardfish	Herring Ball	9	15		Clear Skies		Heavy	Powerful				260	
Rhotano Sea (Privateer Forecastle)												10509	
Finger Shrimp	Lugworm						Light	Precision				8	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Blowfish	Northern Krill						Medium	Powerful				49	
Balloonfish	Heavy Steel Jig						Medium	Powerful				97	
Ash Tuna	Spoon Worm						Medium	Powerful				77	
Red Coral	Herring Ball						Light	Precision				107	
Ogre Barracuda	Harbor Herring						Medium	Powerful				58	
Mazlaya Marlin	Ogre Barracuda						Heavy	Powerful				165	
Gigant Octopus	Ogre Barracuda						Heavy	Powerful				170	
The Old Man in the Sea	Ogre Barracuda			Rain, Showers	Clear Skies		Heavy	Powerful				289	
Rhotano Sea (Privateer Sterncastle)												10510	
Merlthor Goby	Lugworm						Light	Precision				4	
Blowfish	Northern Krill						Medium	Powerful				49	
Leafy Seadragon	Northern Krill						Light	Precision				81	
Rock Lobster	Northern Krill	17	22				Medium	Powerful				149	
Wahoo	Merlthor Goby						Medium	Powerful				116	
Little Thalaos	Northern Krill				Rain, Showers		Medium	Powerful				155	
Shall Shell	Northern Krill						Medium	Powerful				156	
Megalodon	Wahoo						Heavy	Powerful				179	
Giant Squid	Wahoo						Heavy	Powerful				169	
Nepto Dragon	Northern Krill				Rain, Showers	Little Thalaos, 3	Heavy	Powerful				290	
Hidden Falls												10504	
Crimson Crayfish	Crayfish Ball						Light	Precision				17	
Dark Sleeper	Midge Basket	15	10				Light	Precision				36	
Mitten Crab	Honey Worm						Light	Precision				84	
Spotted Puffer	Honey Worm						Light	Precision				99	
Discus	Honey Worm						Medium	Powerful				105	
Kobold Puffer	Spinnerbait						Light	Precision				123	
The Salter	Honey Worm	17	20				Light	Precision				261	
East Agelyss River												10505	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Copperfish	Butterworm						Light	Precision				41	
Lamprey	Copperfish						Light	Precision				68	
Monke Onke	Copperfish						Light	Precision				86	
Mitten Crab	Honey Worm						Light	Precision				84	
Discus	Honey Worm						Medium	Powerful				105	
Loyal Pleco	Stem Borer						Medium	Powerful				112	
Archerfish	Snurble Fly				Clear Skies, Clouds, Fair Skies, Fog		Light	Precision				125	
Agelyss Carp	Snurble Fly						Medium	Powerful				128	
The Drowned Sniper	Snurble Fly				Clear Skies, Fair Skies		Heavy	Powerful				274	
Raincatcher Gully												10506	
Copperfish	Butterworm						Light	Precision				41	
Lamprey	Copperfish						Light	Precision				68	
Mitten Crab	Honey Worm						Light	Precision				84	
Giant Bass	Honey Worm						Medium	Powerful				95	
Discus	Honey Worm						Medium	Powerful				105	
Loyal Pleco	Stem Borer						Medium	Powerful				112	
Thunderbolt Sculpin	Spinner				Rain, Showers		Medium	Powerful				113	
Archerfish	Snurble Fly				Clear Skies, Clouds, Fair Skies, Fog		Light	Precision				125	
Agelyss Carp	Snurble Fly						Medium	Powerful				128	
The Terpsichorean	Honey Worm				Fog		Heavy	Powerful				275	
The Juggernaut												10507	
Copperfish	Midge Basket						Light	Precision				41	
Mudcrab	Honey Worm						Light	Precision				44	
Lamprey	Copperfish						Light	Precision				68	
Grip Killifish	Chocobo Fly						Light	Precision				78	
Silverfish	Honey Worm						Light	Precision				90	
Sludgeskipper	Stem Borer						Light	Precision				131	
Vampire Lampern	Silverfish						Medium	Powerful				150	
Mirrorscale	Copperfish	9	16		Clear Skies, Fair Skies		Heavy	Precision				276	
Red Mantis Falls												10508	
Mitten Crab	Honey Worm						Light	Precision				84	
Silverfish	Honey Worm						Light	Precision				90	
Clown Loach	Honey Worm						Light	Precision				91	
Discus	Honey Worm						Medium	Powerful				105	
Knifefish	Glowworm						Medium	Powerful				115	
Agelyss Carp	Snurble Fly						Medium	Powerful				128	
Goldfish	Silverfish						Light	Precision				146	
Jungle Catfish	Goldfish						Medium	Powerful				184	
Imperial Goldfish	Silverfish					Jungle Catfish, 3	Heavy	Powerful				288	
North Isle of Endless Summer												10511	
Merlthor Goby	Lugworm						Light	Precision				4	
Blowfish	Northern Krill						Medium	Powerful				49	
Leafy Seadragon	Northern Krill						Light	Precision				81	
Wahoo	Merlthor Goby						Medium	Powerful				116	
Little Thalaos	Northern Krill				Rain, Showers		Medium	Powerful				155	
Shall Shell	Northern Krill						Medium	Powerful				156	
Megalodon	Wahoo						Heavy	Powerful				179	
Giant Squid	Wahoo						Heavy	Powerful				169	
Castaway Chocobo Chick	Wahoo	8	16				Heavy	Powerful				636	
Little Perykos	Wahoo				Rain, Showers		Medium	Powerful				637	
Swiftperch												10601	
Merlthor Goby	Lugworm						Light	Precision				4	
Lominsan Anchovy	Lugworm						Light	Precision				5	
White Coral	Goby Ball						Light	Precision				10	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Moraby Flounder	Yumizuno						Medium	Powerful				22	
Pebble Crab	Yumizuno						Light	Precision				26	
Tiger Cod	Rat Tail						Medium	Powerful				30	
Rothlyt Oyster	Rat Tail						Light	Precision				35	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Halibut	Northern Krill						Heavy	Powerful				160	
Armorer	Northern Krill	19	3				Heavy	Precision				210	
Skull Valley												10602	
Merlthor Goby	Lugworm						Light	Precision				4	
Tiger Cod	Rat Tail						Medium	Powerful				30	
Rothlyt Oyster	Rat Tail						Light	Precision				35	
Razor Clam	Rat Tail						Light	Precision				43	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Wahoo	Merlthor Goby						Medium	Powerful				116	
Goosefish	Wahoo						Light	Powerful				152	
Junkmonger	Wahoo	16	2				Heavy	Powerful				207	
The Brewer's Beacon												10606	
White Coral	Goby Ball						Light	Precision				10	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Helmet Crab	Rat Tail						Light	Precision				32	
Rothlyt Oyster	Rat Tail						Light	Precision				35	
Navigator's Dagger	Yumizuno						Medium	Powerful				38	
Ogre Barracuda	Harbor Herring						Medium	Powerful				58	
Gigant Octopus	Ogre Barracuda						Heavy	Powerful				170	
Navigator's Brand	Yumizuno	9	14		Clear Skies, Fair Skies		Heavy	Powerful				216	
Halfstone												10603	
Saber Sardine	Heavy Steel Jig						Medium	Powerful				54	
Blue Coral	Shrimp Cage Feeder						Light	Precision				57	
Hammerhead Shark	Steel Jig						Medium	Powerful				70	
Sea Pickle	Herring Ball						Light	Precision				72	
Whitelip Oyster	Herring Ball						Light	Precision				88	
Lavender Remora	Heavy Steel Jig						Medium	Powerful				93	
Balloonfish	Heavy Steel Jig						Medium	Powerful				97	
The Lone Ripper	Heavy Steel Jig				Gales		Heavy	Powerful				262	
Isles of Umbra Northshore												10604	
Merlthor Goby	Lugworm						Light	Precision				4	
Ocean Cloud	Pill Bug						Light	Precision				12	
Fullmoon Sardine	Spoon Worm	18	6				Light	Precision				83	
Lavender Remora	Heavy Steel Jig						Medium	Powerful				93	
Red Coral	Herring Ball						Light	Precision				107	
Silver Shark	Merlthor Goby						Medium	Powerful				111	
Wahoo	Merlthor Goby						Medium	Powerful				116	
Pike Eel	Yumizuno						Medium	Powerful				129	
Sunfish	Ocean Cloud						Medium	Powerful				171	
Helmsman's Hand	Ocean Cloud	9	15		Clouds, Fog, Wind		Heavy	Powerful				277	
The Ship Graveyard												10607	
Merlthor Goby	Lugworm						Light	Precision				4	
Red Coral	Herring Ball						Light	Precision				107	
Wahoo	Merlthor Goby						Medium	Powerful				116	
Blacklip Oyster	Krill Cage Feeder						Light	Precision				120	
Pike Eel	Yumizuno						Medium	Powerful				129	
Mummer Wrasse	Yumizuno						Medium	Powerful				133	
Plaice	Yumizuno						Medium	Powerful				138	
Giant Squid	Wahoo						Heavy	Powerful				169	
Megalodon	Wahoo						Heavy	Powerful				179	
Frilled Shark	Giant Squid	17	3		Clouds, Fog, Wind		Heavy	Powerful				286	
Sapsa Spawning Grounds												10608	
Fullmoon Sardine	Steel Jig	18	6				Light	Precision				83	
Whitelip Oyster	Herring Ball						Light	Precision				88	
Red Coral	Herring Ball						Light	Precision				107	
Blacklip Oyster	Krill Cage Feeder						Light	Precision				120	
Nautilus	Fullmoon Sardine						Medium	Powerful				124	
Sea Devil	Yumizuno						Medium	Powerful				143	
The Captain's Chalice	Fullmoon Sardine	23	2				Heavy	Powerful				284	
Isles of Umbra Southshore												10605	
Fullmoon Sardine	Spoon Worm	18	6				Light	Precision				83	
Red Coral	Herring Ball						Light	Precision				107	
Blacklip Oyster	Krill Cage Feeder						Light	Precision				120	
Nautilus	Fullmoon Sardine						Medium	Powerful				124	
Mummer Wrasse	Yumizuno						Medium	Powerful				133	
Plaice	Yumizuno						Medium	Powerful				138	
Sea Devil	Yumizuno						Medium	Powerful				143	
Coelacanth	Fullmoon Sardine	18	6				Medium	Powerful				166	
Coelacanthus	Fullmoon Sardine	22	3		Clouds, Fog, Wind		Heavy	Powerful				291	
Endoceras	Fullmoon Sardine	20	4	Clear Skies, Fair Skies	Clouds, Fog, Wind		Heavy	Powerful				292	
Reaver Hide												10609	
Lominsan Anchovy	Lugworm						Light	Precision				5	
Merlthor Goby	Pill Bug						Light	Precision				4	
Red Coral	Herring Ball						Light	Precision				107	
Wahoo	Merlthor Goby						Medium	Powerful				116	
Blacklip Oyster	Krill Cage Feeder						Light	Precision				120	
Rock Lobster	Northern Krill	17	22				Medium	Powerful				149	
Dinichthys	Wahoo						Heavy	Powerful				172	
Seahag	Wahoo	19	2	Clear Skies, Fair Skies	Clear Skies, Fair Skies		Heavy	Powerful				293	
Oakwood												10701	
River Crab	Butterworm						Light	Precision				29	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Jade Eel	Butterworm	17	10				Medium	Powerful				48	
Pond Mussel	Butterworm						Light	Precision				50	
Warmwater Trout	Crow Fly						Medium	Powerful				51	
Four-eyed Fish	Spinnerbait						Medium	Powerful				53	
Dark Bass	Crow Fly						Medium	Powerful				56	
Common Sculpin	Spinnerbait						Light	Precision				119	
Coeurlfish	Common Sculpin						Heavy	Powerful				154	
Toramafish	Common Sculpin	17	20		Clouds, Fog		Heavy	Powerful				241	
Fool Falls												10702	
Crimson Crayfish	Crayfish Ball						Light	Precision				17	
River Crab	Butterworm						Light	Precision				29	
Copperfish	Butterworm						Light	Precision				41	
Bluebell Salmon	Floating Minnow						Medium	Powerful				42	
Jade Eel	Butterworm	17	10				Medium	Powerful				48	
Warmwater Trout	Crow Fly						Medium	Powerful				51	
Four-eyed Fish	Spinnerbait						Medium	Powerful				53	
Dark Bass	Crow Fly						Medium	Powerful				56	
Fall Jumper	Copperfish						Medium	Powerful				114	
Joan of Trout	Crow Fly	4	6				Heavy	Powerful				240	
Bronze Lake Shallows												10704	
Crimson Crayfish	Crayfish Ball						Light	Precision				17	
River Crab	Butterworm						Light	Precision				29	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Jade Eel	Butterworm	17	10				Medium	Powerful				48	
Pond Mussel	Butterworm						Light	Precision				50	
Worm of Nym	Butterworm	19	22				Heavy	Powerful				252	
Northeast Bronze Lake												10703	
Jade Eel	Butterworm	17	10				Medium	Powerful				48	
Pond Mussel	Butterworm						Light	Precision				50	
Four-eyed Fish	Spinnerbait						Medium	Powerful				53	
Bonytongue	Streamer						Medium	Powerful				82	
Mitten Crab	Honey Worm						Light	Precision				84	
Silverfish	Honey Worm						Light	Precision				90	
Giant Bass	Honey Worm						Medium	Powerful				95	
Bronze Lake Trout	Spinnerbait						Medium	Powerful				108	
Giant Catfish	Silverfish						Medium	Powerful				163	
King of the Spring	Spinnerbait	16	19				Heavy	Powerful				263	
The Long Climb												10801	
Giant Bass	Honey Worm						Medium	Powerful				95	
Ignus Snail	Stem Borer						Light	Precision				109	
Thunderbolt Sculpin	Stem Borer				Rain, Showers		Medium	Powerful				113	
Warmwater Trout	Crow Fly						Medium	Powerful				51	
Bronze Lake Trout	Spinnerbait						Medium	Powerful				108	
Giant Donko	Spinnerbait	4	9				Medium	Powerful				157	
Thundergut	Stem Borer	19	3		Rain		Heavy	Powerful				273	
Northwest Bronze Lake												10802	
Jade Eel	Butterworm	17	10				Medium	Powerful				48	
Pond Mussel	Butterworm						Light	Precision				50	
Four-eyed Fish	Spinnerbait						Medium	Powerful				53	
Bonytongue	Streamer						Medium	Powerful				82	
Mitten Crab	Honey Worm						Light	Precision				84	
Silverfish	Honey Worm						Light	Precision				90	
Giant Bass	Honey Worm						Medium	Powerful				95	
Bronze Lake Trout	Spinnerbait						Medium	Powerful				108	
Giant Catfish	Silverfish						Medium	Powerful				163	
King of the Spring	Spinnerbait	16	19				Heavy	Powerful				263	
Mist												10901	
Merlthor Goby	Lugworm						Light	Precision				4	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Blowfish	Northern Krill						Medium	Powerful				49	
Bianaq Bream	Heavy Steel Jig						Medium	Powerful				65	
Indigo Herring	Spoon Worm						Medium	Powerful				75	
Ash Tuna	Spoon Worm						Medium	Powerful				77	
Fullmoon Sardine	Spoon Worm	18	6				Light	Precision				83	
Nautilus	Fullmoon Sardine						Medium	Powerful				124	
Twitchbeard	Fullmoon Sardine	4	6		Clear Skies, Fair Skies		Heavy	Powerful				253	
Jadeite Flood												20101	
Crayfish	Moth Pupa						Light	Precision				2	
Pipira	Crayfish Ball						Light	Precision				16	
Gudgeon	Crayfish Ball						Light	Precision				19	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Moat Carp	Crow Fly						Light	Precision				39	
Raincaller	Stem Borer				Rain, Snow		Medium	Powerful				117	
Stormdancer	Stem Borer	17	2		Rain, Snow		Heavy	Powerful				236	
Lower Black Tea Brook												20102	
Crayfish	Moth Pupa						Light	Precision				2	
Pipira	Crayfish Ball						Light	Precision				16	
Gudgeon	Crayfish Ball						Light	Precision				19	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Moat Carp	Crow Fly						Light	Precision				39	
Bloody Brewer	Crayfish Ball						Heavy	Powerful				219	
Whispering Gorge												20201	
Crayfish	Moth Pupa						Light	Precision				2	
Pipira	Crayfish Ball						Light	Precision				16	
Gudgeon	Crayfish Ball						Light	Precision				19	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Moat Carp	Crow Fly						Light	Precision				39	
Raincaller	Stem Borer				Rain, Snow		Medium	Powerful				117	
Matron Carp	Bloodworm	15	21				Heavy	Powerful				231	
Upper Black Tea Brook												20202	
Crayfish	Moth Pupa						Light	Precision				2	
Pipira	Crayfish Ball						Light	Precision				16	
Gudgeon	Crayfish Ball						Light	Precision				19	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Moat Carp	Crow Fly						Light	Precision				39	
Carp Diem	Crow Fly	9	14		Clouds, Fog		Heavy	Precision				224	
The Vein												20301	
Copperfish	Butterworm						Light	Precision				41	
Crayfish	Moth Pupa						Light	Precision				2	
Striped Goby	Moth Pupa						Light	Precision				6	
Pipira	Crayfish Ball						Light	Precision				16	
Gudgeon	Crayfish Ball						Light	Precision				19	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Eunuch Crayfish	Striped Goby						Light	Precision				47	
Chirurgeon	Striped Goby						Heavy	Precision				228	
The Mirror												20302	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Pipira	Crayfish Ball						Light	Precision				16	
Gudgeon	Crayfish Ball						Light	Precision				19	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Moat Carp	Crow Fly						Light	Precision				39	
Tri-colored Carp	Butterworm						Medium	Powerful				46	
Ghost Carp	Butterworm	21	3		Rain		Heavy	Powerful				223	
Everschade												20303	
Black Eel	Butterworm	17	10				Medium	Powerful				55	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Monke Onke	Ala Mhigan Fighting Fish						Light	Precision				86	
Mitten Crab	Honey Worm						Light	Precision				84	
Spotted Pleco	Syrphid Basket						Medium	Powerful				73	
Bonytongue	Streamer						Medium	Powerful				82	
Levinlight	Syrphid Basket	18	23				Heavy	Precision				256	
Hopeseed Pond												20304	
Mudcrab	Honey Worm						Light	Precision				44	
Black Eel	Butterworm	17	10				Medium	Powerful				55	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Black Ghost	Ala Mhigan Fighting Fish						Medium	Powerful				66	
Mudskipper	Midge Basket						Light	Precision				27	
Clown Loach	Honey Worm						Light	Precision				91	
Seema	Wildfowl Fly						Medium	Powerful				87	
The Green Jester	Honey Worm	18	21				Heavy	Powerful				270	
Haukke Manor												20305	
Mudskipper	Midge Basket						Light	Precision				27	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Mudcrab	Honey Worm						Light	Precision				44	
Monke Onke	Ala Mhigan Fighting Fish						Light	Precision				86	
Silverfish	Honey Worm						Light	Precision				90	
Bloodbath	Silverfish				Thunder		Heavy	Powerful				271	
Sweetbloom Pier												20401	
Copperfish	Butterworm						Light	Precision				41	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Striped Goby	Moth Pupa						Light	Precision				6	
Pipira	Crayfish Ball						Light	Precision				16	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
River Crab	Butterworm						Light	Precision				29	
Dark Sleeper	Midge Basket	15	10				Light	Precision				36	
Eunuch Crayfish	Striped Goby						Light	Precision				47	
Dark Ambusher	Striped Goby	21	3				Heavy	Precision				217	
Springripple Brook												20403	
Copperfish	Butterworm						Light	Precision				41	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
